,Country,Dates,Deaths
65,Afghanistan,2020-03-27,4
65,Albania,2020-03-27,8
65,Algeria,2020-03-27,26
65,Andorra,2020-03-27,3
65,Angola,2020-03-27,0
65,Antigua and Barbuda,2020-03-27,0
65,Argentina,2020-03-27,13
65,Armenia,2020-03-27,1
65,Australia,2020-03-27,13
65,Austria,2020-03-27,58
65,Azerbaijan,2020-03-27,3
65,Bahamas,2020-03-27,0
65,Bahrain,2020-03-27,4
65,Bangladesh,2020-03-27,5
65,Barbados,2020-03-27,0
65,Belarus,2020-03-27,0
65,Belgium,2020-03-27,289
65,Belize,2020-03-27,0
65,Benin,2020-03-27,0
65,Bhutan,2020-03-27,0
65,Bolivia,2020-03-27,0
65,Bosnia and Herzegovina,2020-03-27,4
65,Brazil,2020-03-27,92
65,Brunei,2020-03-27,0
65,Bulgaria,2020-03-27,3
65,Burkina Faso,2020-03-27,9
65,Burma,2020-03-27,0
65,Cabo Verde,2020-03-27,1
65,Cambodia,2020-03-27,0
65,Cameroon,2020-03-27,2
65,Canada,2020-03-27,54
65,Central African Republic,2020-03-27,0
65,Chad,2020-03-27,0
65,Chile,2020-03-27,5
65,China,2020-03-27,3296
65,Colombia,2020-03-27,6
65,Congo (Brazzaville),2020-03-27,0
65,Congo (Kinshasa),2020-03-27,3
65,Costa Rica,2020-03-27,2
65,Cote d'Ivoire,2020-03-27,0
65,Croatia,2020-03-27,3
65,Cuba,2020-03-27,2
65,Cyprus,2020-03-27,5
65,Czechia,2020-03-27,9
65,Denmark,2020-03-27,52
65,Diamond Princess,2020-03-27,10
65,Djibouti,2020-03-27,0
65,Dominica,2020-03-27,0
65,Dominican Republic,2020-03-27,20
65,Ecuador,2020-03-27,36
65,Egypt,2020-03-27,30
65,El Salvador,2020-03-27,0
65,Equatorial Guinea,2020-03-27,0
65,Eritrea,2020-03-27,0
65,Estonia,2020-03-27,1
65,Eswatini,2020-03-27,0
65,Ethiopia,2020-03-27,0
65,Fiji,2020-03-27,0
65,Finland,2020-03-27,7
65,France,2020-03-27,1997
65,Gabon,2020-03-27,1
65,Gambia,2020-03-27,1
65,Georgia,2020-03-27,0
65,Germany,2020-03-27,342
65,Ghana,2020-03-27,4
65,Greece,2020-03-27,28
65,Grenada,2020-03-27,0
65,Guatemala,2020-03-27,1
65,Guinea,2020-03-27,0
65,Guinea-Bissau,2020-03-27,0
65,Guyana,2020-03-27,1
65,Haiti,2020-03-27,0
65,Holy See,2020-03-27,0
65,Honduras,2020-03-27,1
65,Hungary,2020-03-27,10
65,Iceland,2020-03-27,2
65,India,2020-03-27,20
65,Indonesia,2020-03-27,87
65,Iran,2020-03-27,2378
65,Iraq,2020-03-27,40
65,Ireland,2020-03-27,22
65,Israel,2020-03-27,12
65,Italy,2020-03-27,9134
65,Jamaica,2020-03-27,1
65,Japan,2020-03-27,49
65,Jordan,2020-03-27,1
65,Kazakhstan,2020-03-27,1
65,Kenya,2020-03-27,1
65,"Korea, South",2020-03-27,139
65,Kosovo,2020-03-27,1
65,Kuwait,2020-03-27,0
65,Kyrgyzstan,2020-03-27,0
65,Laos,2020-03-27,0
65,Latvia,2020-03-27,0
65,Lebanon,2020-03-27,8
65,Liberia,2020-03-27,0
65,Libya,2020-03-27,0
65,Liechtenstein,2020-03-27,0
65,Lithuania,2020-03-27,5
65,Luxembourg,2020-03-27,15
65,Madagascar,2020-03-27,0
65,Malaysia,2020-03-27,26
65,Maldives,2020-03-27,0
65,Mali,2020-03-27,0
65,Malta,2020-03-27,0
65,Mauritania,2020-03-27,0
65,Mauritius,2020-03-27,2
65,Mexico,2020-03-27,8
65,Moldova,2020-03-27,2
65,Monaco,2020-03-27,0
65,Mongolia,2020-03-27,0
65,Montenegro,2020-03-27,1
65,Morocco,2020-03-27,23
65,Mozambique,2020-03-27,0
65,Namibia,2020-03-27,0
65,Nepal,2020-03-27,0
65,Netherlands,2020-03-27,547
65,New Zealand,2020-03-27,0
65,Nicaragua,2020-03-27,1
65,Niger,2020-03-27,1
65,Nigeria,2020-03-27,1
65,North Macedonia,2020-03-27,3
65,Norway,2020-03-27,19
65,Oman,2020-03-27,0
65,Pakistan,2020-03-27,11
65,Panama,2020-03-27,9
65,Papua New Guinea,2020-03-27,0
65,Paraguay,2020-03-27,3
65,Peru,2020-03-27,11
65,Philippines,2020-03-27,54
65,Poland,2020-03-27,16
65,Portugal,2020-03-27,76
65,Qatar,2020-03-27,0
65,Romania,2020-03-27,26
65,Russia,2020-03-27,4
65,Rwanda,2020-03-27,0
65,Saint Kitts and Nevis,2020-03-27,0
65,Saint Lucia,2020-03-27,0
65,Saint Vincent and the Grenadines,2020-03-27,0
65,San Marino,2020-03-27,21
65,Saudi Arabia,2020-03-27,3
65,Senegal,2020-03-27,0
65,Serbia,2020-03-27,1
65,Seychelles,2020-03-27,0
65,Singapore,2020-03-27,2
65,Slovakia,2020-03-27,0
65,Slovenia,2020-03-27,9
65,Somalia,2020-03-27,0
65,South Africa,2020-03-27,1
65,Spain,2020-03-27,5138
65,Sri Lanka,2020-03-27,0
65,Sudan,2020-03-27,1
65,Suriname,2020-03-27,0
65,Sweden,2020-03-27,105
65,Switzerland,2020-03-27,231
65,Syria,2020-03-27,0
65,Taiwan*,2020-03-27,2
65,Tanzania,2020-03-27,0
65,Thailand,2020-03-27,5
65,Timor-Leste,2020-03-27,0
65,Togo,2020-03-27,1
65,Trinidad and Tobago,2020-03-27,2
65,Tunisia,2020-03-27,6
65,Turkey,2020-03-27,92
65,US,2020-03-27,1581
65,Uganda,2020-03-27,0
65,Ukraine,2020-03-27,5
65,United Arab Emirates,2020-03-27,2
65,United Kingdom,2020-03-27,761
65,Uruguay,2020-03-27,0
65,Uzbekistan,2020-03-27,1
65,Venezuela,2020-03-27,1
65,Vietnam,2020-03-27,0
65,West Bank and Gaza,2020-03-27,1
65,Zambia,2020-03-27,0
65,Zimbabwe,2020-03-27,1
