,Country,latitude,longitudes
65,Afghanistan,33.7680065,66.2385139
65,Albania,41.000028,19.9999619
65,Algeria,28.0000272,2.9999825
65,Andorra,42.5407167,1.5732033
65,Angola,-11.8775768,17.5691241
65,Antigua and Barbuda,17.2234721,-61.9554608
65,Argentina,-34.9964963,-64.9672817
65,Armenia,40.7696272,44.6736646
65,Australia,-24.7761086,134.755
65,Austria,47.2000338,13.199959
65,Azerbaijan,40.3936294,47.7872508
65,Bahamas,24.7736546,-78.0000547
65,Bahrain,26.1551249,50.5344606
65,Bangladesh,24.4768783,90.2932426
65,Barbados,13.1500331,-59.5250305
65,Belarus,53.4250605,27.6971358
65,Belgium,50.6402809,4.6667145
65,Belize,16.8259793,-88.7600927
65,Benin,9.5293472,2.2584408
65,Bhutan,27.549511,90.5119273
65,Bolivia,-17.0568696,-64.9912286
65,Bosnia and Herzegovina,44.3053476,17.5961467
65,Brazil,-10.3333333,-53.2
65,Brunei,4.4137155,114.5653908
65,Bulgaria,42.6073975,25.4856617
65,Burkina Faso,12.0753083,-1.6880314
65,Burma,17.1750495,95.9999652
65,Cabo Verde,16.0000552,-24.0083947
65,Cambodia,13.5066394,104.869423
65,Cameroon,4.6125522,13.1535811
65,Canada,61.0666922,-107.9917071
65,Central African Republic,7.0323598,19.9981227
65,Chad,15.6134137,19.0156172
65,Chile,-31.7613365,-71.3187697
65,China,35.000074,104.999927
65,Colombia,2.8894434,-73.783892
65,Congo (Brazzaville),-0.7264327,15.6419155
65,Congo (Kinshasa),-2.9814344,23.8222636
65,Costa Rica,10.2735633,-84.0739102
65,Cote d'Ivoire,7.9897371,-5.5679458
65,Croatia,45.5643442,17.0118954
65,Cuba,23.0131338,-80.8328748
65,Cyprus,34.9823018,33.1451285
65,Czechia,49.8167003,15.4749544
65,Denmark,55.670249,10.3333283
65,Diamond Princess,53.8953584,27.5554078
65,Djibouti,11.8145966,42.8453061
65,Dominica,19.0974031,-70.3028026
65,Dominican Republic,19.0974031,-70.3028026
65,Ecuador,-1.3397668,-79.3666965
65,Egypt,26.2540493,29.2675469
65,El Salvador,13.8000382,-88.9140683
65,Equatorial Guinea,1.613172,10.5170357
65,Eritrea,15.9500319,37.9999668
65,Estonia,58.7523778,25.3319078
65,Eswatini,-26.5624806,31.3991317
65,Ethiopia,10.2116702,38.6521203
65,Fiji,-18.1239696,179.0122737
65,Finland,63.2467777,25.9209164
65,France,46.603354,1.8883335
65,Gabon,-0.8999695,11.6899699
65,Gambia,13.470062,-15.4900464
65,Georgia,32.3293809,-83.1137366
65,Germany,51.0834196,10.4234469
65,Ghana,8.0300284,-1.0800271
65,Greece,38.9953683,21.9877132
65,Grenada,12.1360374,-61.6904045
65,Guatemala,15.6356088,-89.8988087
65,Guinea,10.7226226,-10.7083587
65,Guinea-Bissau,12.100035,-14.9000214
65,Guyana,4.8417097,-58.6416891
65,Haiti,19.1399952,-72.3570972
65,Holy See,38.9247244,-77.06572732690151
65,Honduras,15.2572432,-86.0755145
65,Hungary,47.1817585,19.5060937
65,Iceland,64.9841821,-18.1059013
65,India,22.3511148,78.6677428
65,Indonesia,-2.4833826,117.8902853
65,Iran,32.6475314,54.5643516
65,Iraq,33.0955793,44.1749775
65,Ireland,52.865196,-7.9794599
65,Israel,31.5313113,34.8667654
65,Italy,42.6384261,12.674297
65,Jamaica,18.1152958,-77.1598454610168
65,Japan,36.5748441,139.2394179
65,Jordan,31.1667049,36.941628
65,Kazakhstan,47.2286086,65.2093197
65,Kenya,1.4419683,38.4313975
65,"Korea, South",35.7724185,127.79654346305617
65,Kosovo,42.5869578,20.9021231
65,Kuwait,29.2733964,47.4979476
65,Kyrgyzstan,41.5089324,74.724091
65,Laos,20.0171109,103.378253
65,Latvia,56.8406494,24.7537645
65,Lebanon,33.8750629,35.843409
65,Liberia,5.7499721,-9.3658524
65,Libya,26.8234472,18.1236723
65,Liechtenstein,47.1416307,9.5531527
65,Lithuania,55.3500003,23.7499997
65,Luxembourg,49.8158683,6.1296751
65,Madagascar,-18.9249604,46.4416422
65,Malaysia,4.5693754,102.2656823
65,Maldives,4.7064352,73.3287853
65,Mali,16.3700359,-2.2900239
65,Malta,35.8885993,14.4476911
65,Mauritania,20.2540382,-9.2399263
65,Mauritius,-20.2759451,57.5703566
65,Mexico,19.4326296,-99.1331785
65,Moldova,47.2879608,28.5670941
65,Monaco,43.7323492,7.4276832
65,Mongolia,46.8250388,103.8499736
65,Montenegro,42.9868853,19.5180992
65,Morocco,31.1728205,-7.3362482
65,Mozambique,-19.302233,34.9144977
65,Namibia,-23.2335499,17.3231107
65,Nepal,28.1083929,84.0917139
65,Netherlands,52.5001698,5.7480821
65,New Zealand,-41.5000831,172.8344077
65,Nicaragua,12.6090157,-85.2936911
65,Niger,17.7356214,9.3238432
65,Nigeria,9.6000359,7.9999721
65,North Macedonia,41.6171214,21.7168387
65,Norway,60.5000209,9.0999715
65,Oman,21.0000287,57.0036901
65,Pakistan,30.3308401,71.247499
65,Panama,8.559559,-81.1308434
65,Papua New Guinea,-5.6816069,144.2489081
65,Paraguay,-23.3165935,-58.1693445
65,Peru,-6.8699697,-75.0458515
65,Philippines,12.7503486,122.7312101
65,Poland,52.215933,19.134422
65,Portugal,40.0332629,-7.8896263
65,Qatar,25.3336984,51.2295295
65,Romania,45.9852129,24.6859225
65,Russia,64.6863136,97.7453061
65,Rwanda,-1.9646631,30.0644358
65,Saint Kitts and Nevis,17.250512,-62.6725973
65,Saint Lucia,13.8250489,-60.975036
65,Saint Vincent and the Grenadines,12.90447,-61.2765569
65,San Marino,43.9458623,12.458306
65,Saudi Arabia,25.6242618,42.3528328
65,Senegal,14.4750607,-14.4529612
65,Serbia,44.024322850000004,21.07657433209902
65,Seychelles,-4.6574977,55.4540146
65,Singapore,1.357107,103.8194992
65,Slovakia,48.7411522,19.4528646
65,Slovenia,45.8133113,14.4808369
65,Somalia,8.3676771,49.083416
65,South Africa,-28.8166236,24.991639
65,Spain,39.3262345,-4.8380649
65,Sri Lanka,7.5554942,80.7137847
65,Sudan,14.5844444,29.4917691
65,Suriname,4.1413025,-56.0771187
65,Sweden,59.6749712,14.5208584
65,Switzerland,46.7985624,8.2319736
65,Syria,34.6401861,39.0494106
65,Taiwan*,23.59829785,120.83536313817521
65,Tanzania,-6.5247123,35.7878438
65,Thailand,14.8971921,100.83273
65,Timor-Leste,-8.5151979,125.8375756
65,Togo,8.7800265,1.0199765
65,Trinidad and Tobago,10.8677845,-60.9821067
65,Tunisia,33.8439408,9.400138
65,Turkey,38.9597594,34.9249653
65,US,39.7837304,-100.4458825
65,Uganda,1.5333554,32.2166578
65,Ukraine,49.4871968,31.2718321
65,United Arab Emirates,24.0002488,53.9994829
65,United Kingdom,54.7023545,-3.2765753
65,Uruguay,-32.8755548,-56.0201525
65,Uzbekistan,41.32373,63.9528098
65,Venezuela,8.0018709,-66.1109318
65,Vietnam,13.2904027,108.4265113
65,West Bank and Gaza,31.4331663,34.3779285
65,Zambia,-14.5186239,27.5599164
65,Zimbabwe,-18.4554963,29.7468414
